@RELATION empleo_recomendacion_simplificado

@ATTRIBUTE tipo_empleo_oferta {Tiempo_Completo, Medio_Tiempo, Por_Horas, Temporal}
@ATTRIBUTE modalidad_oferta {Presencial, Remoto, Hibrido}
@ATTRIBUTE tipo_contrato_oferta {Indefinido, Practicas, Obra_Servicio}
@ATTRIBUTE experiencia_requerida NUMERIC
@ATTRIBUTE nivel_estudio_requerido {Bachillerato, Tecnico, Grado, Master, Doctorado}
@ATTRIBUTE sector_oferta {Tecnologia, Educacion, Salud, Construccion, Otros}

@ATTRIBUTE tipo_empleo_deseado {Tiempo_Completo, Medio_Tiempo, Por_Horas, Temporal}
@ATTRIBUTE preferencia_modalidad {Presencial, Remoto, Hibrido}
@ATTRIBUTE preferencia_contrato {Indefinido, Practicas, Obra_Servicio}
@ATTRIBUTE experiencia_persona NUMERIC
@ATTRIBUTE nivel_estudio_persona {Bachillerato, Tecnico, Grado, Master, Doctorado}
@ATTRIBUTE sector_persona {Tecnologia, Educacion, Salud, Construccion, Otros}
@ATTRIBUTE edad_persona NUMERIC

@ATTRIBUTE coincide_tipo_empleo {Si, No}
@ATTRIBUTE coincide_modalidad {Si, No}
@ATTRIBUTE coincide_contrato {Si, No}
@ATTRIBUTE coincide_estudios {Si, No}
@ATTRIBUTE coincide_sector {Si, No}
@ATTRIBUTE experiencia_suficiente {Si, No}

@ATTRIBUTE compatible {Si, No}

@DATA
Temporal,Hibrido,Practicas,3,Bachillerato,Tecnologia,Por_Horas,Hibrido,Practicas,5,Doctorado,Construccion,60,No,Si,Si,Si,No,Si,Si
Temporal,Presencial,Practicas,1,Tecnico,Salud,Por_Horas,Hibrido,Practicas,2,Grado,Salud,59,No,No,Si,Si,Si,Si,Si
Por_Horas,Presencial,Practicas,1,Doctorado,Tecnologia,Por_Horas,Presencial,Practicas,3,Bachillerato,Educacion,20,Si,Si,Si,No,No,Si,Si
Por_Horas,Remoto,Obra_Servicio,4,Tecnico,Salud,Temporal,Remoto,Indefinido,4,Doctorado,Educacion,34,No,Si,No,Si,No,Si,No
Tiempo_Completo,Presencial,Obra_Servicio,3,Grado,Educacion,Tiempo_Completo,Hibrido,Obra_Servicio,5,Grado,Construccion,53,Si,No,Si,Si,No,Si,Si
Temporal,Presencial,Indefinido,5,Master,Salud,Medio_Tiempo,Presencial,Indefinido,6,Master,Otros,23,No,Si,Si,Si,No,Si,Si
Medio_Tiempo,Hibrido,Obra_Servicio,5,Grado,Tecnologia,Temporal,Presencial,Indefinido,1,Master,Tecnologia,29,No,No,No,Si,Si,No,No
Medio_Tiempo,Hibrido,Obra_Servicio,3,Tecnico,Otros,Temporal,Remoto,Practicas,2,Doctorado,Tecnologia,45,No,No,No,Si,No,No,No
Temporal,Hibrido,Obra_Servicio,2,Bachillerato,Salud,Medio_Tiempo,Hibrido,Obra_Servicio,2,Bachillerato,Tecnologia,22,No,Si,Si,Si,No,Si,Si
Medio_Tiempo,Hibrido,Practicas,4,Master,Tecnologia,Por_Horas,Hibrido,Practicas,6,Doctorado,Construccion,24,No,Si,Si,Si,No,Si,Si
Medio_Tiempo,Remoto,Practicas,2,Doctorado,Salud,Medio_Tiempo,Hibrido,Indefinido,2,Grado,Educacion,21,Si,No,No,No,No,Si,No
Por_Horas,Remoto,Indefinido,2,Bachillerato,Tecnologia,Por_Horas,Hibrido,Practicas,2,Grado,Construccion,26,Si,No,No,Si,No,Si,No
Medio_Tiempo,Remoto,Obra_Servicio,3,Bachillerato,Construccion,Tiempo_Completo,Hibrido,Practicas,5,Master,Educacion,39,No,No,No,Si,No,Si,No
Medio_Tiempo,Hibrido,Obra_Servicio,3,Bachillerato,Educacion,Medio_Tiempo,Presencial,Obra_Servicio,1,Grado,Educacion,23,Si,No,Si,Si,Si,No,Si
Medio_Tiempo,Presencial,Practicas,2,Tecnico,Otros,Medio_Tiempo,Hibrido,Practicas,2,Doctorado,Otros,58,Si,No,Si,Si,Si,Si,Si
Tiempo_Completo,Remoto,Practicas,4,Tecnico,Educacion,Medio_Tiempo,Hibrido,Indefinido,1,Master,Tecnologia,50,No,No,No,Si,No,No,No
Temporal,Hibrido,Practicas,4,Master,Otros,Por_Horas,Hibrido,Indefinido,5,Master,Salud,25,No,Si,No,Si,No,Si,No
Temporal,Presencial,Practicas,1,Bachillerato,Tecnologia,Por_Horas,Remoto,Indefinido,3,Grado,Tecnologia,28,No,No,No,Si,Si,Si,No
Por_Horas,Hibrido,Obra_Servicio,5,Master,Salud,Tiempo_Completo,Hibrido,Practicas,5,Grado,Educacion,20,No,Si,No,No,No,Si,No
Por_Horas,Remoto,Indefinido,1,Doctorado,Tecnologia,Medio_Tiempo,Remoto,Practicas,6,Doctorado,Educacion,27,No,Si,No,Si,No,Si,No
Temporal,Hibrido,Indefinido,6,Doctorado,Salud,Tiempo_Completo,Remoto,Obra_Servicio,1,Bachillerato,Tecnologia,37,No,No,No,No,No,No,No
Medio_Tiempo,Presencial,Indefinido,1,Bachillerato,Construccion,Tiempo_Completo,Hibrido,Practicas,1,Bachillerato,Otros,21,No,No,No,Si,No,Si,No
Temporal,Presencial,Practicas,3,Grado,Tecnologia,Medio_Tiempo,Presencial,Obra_Servicio,2,Grado,Salud,53,No,Si,No,Si,No,No,No
Medio_Tiempo,Hibrido,Indefinido,6,Doctorado,Construccion,Temporal,Hibrido,Practicas,2,Bachillerato,Tecnologia,38,No,Si,No,No,No,No,No
Por_Horas,Hibrido,Indefinido,4,Tecnico,Construccion,Por_Horas,Hibrido,Indefinido,3,Doctorado,Educacion,60,Si,Si,Si,Si,No,No,Si
Tiempo_Completo,Remoto,Indefinido,2,Doctorado,Tecnologia,Tiempo_Completo,Presencial,Indefinido,2,Grado,Construccion,55,Si,No,Si,No,No,Si,No
Por_Horas,Presencial,Practicas,2,Grado,Educacion,Medio_Tiempo,Presencial,Obra_Servicio,3,Doctorado,Salud,32,No,Si,No,Si,No,Si,No
Medio_Tiempo,Remoto,Practicas,1,Bachillerato,Tecnologia,Tiempo_Completo,Remoto,Indefinido,5,Bachillerato,Educacion,50,No,Si,No,Si,No,Si,No
Medio_Tiempo,Presencial,Indefinido,3,Bachillerato,Educacion,Medio_Tiempo,Hibrido,Obra_Servicio,6,Bachillerato,Educacion,24,Si,No,No,Si,Si,Si,Si
Tiempo_Completo,Presencial,Practicas,1,Tecnico,Educacion,Tiempo_Completo,Remoto,Practicas,6,Master,Tecnologia,56,Si,No,Si,Si,No,Si,Si
Por_Horas,Remoto,Obra_Servicio,1,Master,Construccion,Temporal,Remoto,Obra_Servicio,1,Master,Tecnologia,60,No,Si,Si,Si,No,Si,Si
Tiempo_Completo,Remoto,Obra_Servicio,1,Bachillerato,Construccion,Por_Horas,Presencial,Obra_Servicio,4,Bachillerato,Otros,37,No,No,Si,Si,No,Si,No
Tiempo_Completo,Presencial,Obra_Servicio,2,Doctorado,Tecnologia,Tiempo_Completo,Presencial,Indefinido,6,Doctorado,Educacion,43,Si,Si,No,Si,No,Si,Si
Tiempo_Completo,Presencial,Indefinido,1,Grado,Otros,Medio_Tiempo,Remoto,Indefinido,4,Bachillerato,Otros,27,No,No,Si,No,Si,Si,No
Temporal,Remoto,Practicas,4,Tecnico,Construccion,Temporal,Remoto,Indefinido,5,Master,Tecnologia,42,Si,Si,No,Si,No,Si,Si
Tiempo_Completo,Presencial,Indefinido,6,Master,Construccion,Tiempo_Completo,Hibrido,Obra_Servicio,6,Doctorado,Salud,24,Si,No,No,Si,No,Si,No
Tiempo_Completo,Remoto,Obra_Servicio,2,Master,Educacion,Medio_Tiempo,Hibrido,Indefinido,2,Grado,Educacion,39,No,No,No,No,Si,Si,No
Tiempo_Completo,Presencial,Obra_Servicio,3,Tecnico,Tecnologia,Medio_Tiempo,Remoto,Practicas,1,Doctorado,Salud,51,No,No,No,Si,No,No,No
Medio_Tiempo,Remoto,Obra_Servicio,3,Grado,Salud,Medio_Tiempo,Remoto,Obra_Servicio,4,Tecnico,Salud,30,Si,Si,Si,No,Si,Si,Si
Temporal,Hibrido,Indefinido,4,Tecnico,Construccion,Temporal,Remoto,Practicas,6,Tecnico,Construccion,29,Si,No,No,Si,Si,Si,Si
Medio_Tiempo,Presencial,Obra_Servicio,4,Grado,Salud,Tiempo_Completo,Hibrido,Practicas,4,Doctorado,Salud,30,No,No,No,Si,Si,Si,No
Tiempo_Completo,Presencial,Indefinido,5,Master,Salud,Temporal,Remoto,Obra_Servicio,5,Grado,Salud,36,No,No,No,No,Si,Si,No
Temporal,Presencial,Indefinido,2,Tecnico,Salud,Temporal,Remoto,Indefinido,6,Master,Salud,24,Si,No,Si,Si,Si,Si,Si
Por_Horas,Hibrido,Indefinido,5,Master,Tecnologia,Por_Horas,Hibrido,Obra_Servicio,5,Grado,Tecnologia,45,Si,Si,No,No,Si,Si,Si
Tiempo_Completo,Presencial,Obra_Servicio,6,Doctorado,Otros,Tiempo_Completo,Presencial,Obra_Servicio,6,Grado,Tecnologia,44,Si,Si,Si,No,No,Si,Si
Por_Horas,Remoto,Obra_Servicio,1,Master,Educacion,Por_Horas,Hibrido,Obra_Servicio,1,Tecnico,Educacion,28,Si,No,Si,No,Si,Si,Si
Medio_Tiempo,Presencial,Obra_Servicio,1,Grado,Construccion,Medio_Tiempo,Presencial,Practicas,5,Doctorado,Tecnologia,22,Si,Si,No,Si,No,Si,Si
Tiempo_Completo,Hibrido,Indefinido,1,Grado,Tecnologia,Por_Horas,Hibrido,Practicas,5,Master,Construccion,53,No,Si,No,Si,No,Si,No
Medio_Tiempo,Hibrido,Obra_Servicio,4,Tecnico,Educacion,Medio_Tiempo,Remoto,Obra_Servicio,6,Master,Salud,26,Si,No,Si,Si,No,Si,Si
Tiempo_Completo,Presencial,Practicas,4,Bachillerato,Tecnologia,Tiempo_Completo,Presencial,Practicas,4,Grado,Educacion,58,Si,Si,Si,Si,No,Si,Si
Tiempo_Completo,Remoto,Practicas,3,Grado,Tecnologia,Medio_Tiempo,Remoto,Practicas,3,Grado,Otros,45,No,Si,Si,Si,No,Si,Si
Medio_Tiempo,Presencial,Indefinido,3,Doctorado,Construccion,Medio_Tiempo,Hibrido,Indefinido,3,Doctorado,Tecnologia,43,Si,No,Si,Si,No,Si,Si
Medio_Tiempo,Hibrido,Obra_Servicio,3,Bachillerato,Tecnologia,Temporal,Remoto,Practicas,6,Tecnico,Salud,53,No,No,No,Si,No,Si,No
Medio_Tiempo,Hibrido,Indefinido,6,Tecnico,Otros,Por_Horas,Presencial,Practicas,3,Doctorado,Construccion,30,No,No,No,Si,No,No,No
Tiempo_Completo,Remoto,Indefinido,3,Grado,Tecnologia,Medio_Tiempo,Remoto,Practicas,4,Master,Tecnologia,43,No,Si,No,Si,Si,Si,Si
Temporal,Remoto,Indefinido,2,Tecnico,Educacion,Tiempo_Completo,Remoto,Practicas,3,Master,Salud,45,No,Si,No,Si,No,Si,No
Tiempo_Completo,Presencial,Obra_Servicio,1,Bachillerato,Tecnologia,Tiempo_Completo,Remoto,Practicas,4,Bachillerato,Tecnologia,34,Si,No,No,Si,Si,Si,Si
Por_Horas,Presencial,Practicas,5,Bachillerato,Otros,Por_Horas,Hibrido,Indefinido,5,Bachillerato,Otros,57,Si,No,No,Si,Si,Si,Si
Tiempo_Completo,Remoto,Practicas,5,Doctorado,Construccion,Temporal,Hibrido,Practicas,3,Doctorado,Construccion,38,No,No,Si,Si,Si,No,No
Temporal,Presencial,Indefinido,2,Doctorado,Educacion,Temporal,Hibrido,Indefinido,4,Doctorado,Salud,49,Si,No,Si,Si,No,Si,Si
Medio_Tiempo,Presencial,Obra_Servicio,5,Master,Otros,Temporal,Hibrido,Practicas,6,Doctorado,Otros,40,No,No,No,Si,Si,Si,No
Temporal,Presencial,Indefinido,3,Bachillerato,Tecnologia,Tiempo_Completo,Remoto,Practicas,4,Doctorado,Otros,53,No,No,No,Si,No,Si,No
Medio_Tiempo,Remoto,Practicas,6,Grado,Salud,Medio_Tiempo,Remoto,Obra_Servicio,6,Master,Educacion,35,Si,Si,No,Si,No,Si,Si
Tiempo_Completo,Hibrido,Practicas,1,Bachillerato,Educacion,Tiempo_Completo,Presencial,Indefinido,3,Master,Educacion,50,Si,No,No,Si,Si,Si,Si
Temporal,Hibrido,Practicas,6,Tecnico,Construccion,Temporal,Hibrido,Practicas,2,Tecnico,Salud,27,Si,Si,Si,Si,No,No,Si
Por_Horas,Hibrido,Practicas,1,Bachillerato,Construccion,Por_Horas,Hibrido,Practicas,6,Doctorado,Salud,52,Si,Si,Si,Si,No,Si,Si
Tiempo_Completo,Remoto,Practicas,2,Doctorado,Construccion,Tiempo_Completo,Remoto,Indefinido,6,Doctorado,Construccion,46,Si,Si,No,Si,Si,Si,Si
Tiempo_Completo,Hibrido,Practicas,3,Bachillerato,Construccion,Medio_Tiempo,Remoto,Practicas,1,Doctorado,Construccion,48,No,No,Si,Si,Si,No,No
Medio_Tiempo,Presencial,Obra_Servicio,6,Grado,Otros,Tiempo_Completo,Presencial,Obra_Servicio,4,Grado,Otros,42,No,Si,Si,Si,Si,No,Si
Por_Horas,Remoto,Indefinido,3,Bachillerato,Otros,Por_Horas,Remoto,Obra_Servicio,4,Grado,Educacion,21,Si,Si,No,Si,No,Si,Si
Tiempo_Completo,Presencial,Practicas,5,Master,Tecnologia,Tiempo_Completo,Presencial,Practicas,2,Doctorado,Otros,26,Si,Si,Si,Si,No,No,Si
Por_Horas,Remoto,Obra_Servicio,3,Tecnico,Salud,Medio_Tiempo,Remoto,Obra_Servicio,1,Bachillerato,Educacion,26,No,Si,Si,No,No,No,No
Tiempo_Completo,Presencial,Obra_Servicio,2,Doctorado,Salud,Medio_Tiempo,Presencial,Obra_Servicio,4,Master,Salud,43,No,Si,Si,No,Si,Si,Si
Tiempo_Completo,Remoto,Obra_Servicio,2,Bachillerato,Tecnologia,Tiempo_Completo,Presencial,Obra_Servicio,2,Tecnico,Salud,26,Si,No,Si,Si,No,Si,Si
Tiempo_Completo,Remoto,Practicas,3,Doctorado,Salud,Tiempo_Completo,Remoto,Practicas,3,Master,Otros,24,Si,Si,Si,No,No,Si,Si
Tiempo_Completo,Remoto,Obra_Servicio,5,Bachillerato,Otros,Por_Horas,Remoto,Obra_Servicio,5,Tecnico,Otros,36,No,Si,Si,Si,Si,Si,Si
Tiempo_Completo,Presencial,Obra_Servicio,3,Grado,Educacion,Tiempo_Completo,Hibrido,Indefinido,5,Bachillerato,Otros,24,Si,No,No,No,No,Si,No
Tiempo_Completo,Hibrido,Obra_Servicio,5,Doctorado,Construccion,Tiempo_Completo,Presencial,Indefinido,4,Grado,Construccion,54,Si,No,No,No,Si,No,No
Por_Horas,Hibrido,Practicas,1,Master,Educacion,Por_Horas,Hibrido,Practicas,2,Bachillerato,Educacion,46,Si,Si,Si,No,Si,Si,Si
Temporal,Presencial,Obra_Servicio,1,Grado,Tecnologia,Temporal,Presencial,Obra_Servicio,3,Master,Educacion,40,Si,Si,Si,Si,No,Si,Si
Tiempo_Completo,Hibrido,Practicas,2,Doctorado,Salud,Temporal,Presencial,Indefinido,6,Bachillerato,Construccion,59,No,No,No,No,No,Si,No
Por_Horas,Remoto,Indefinido,1,Tecnico,Construccion,Temporal,Remoto,Indefinido,6,Grado,Construccion,22,No,Si,Si,Si,Si,Si,Si
Por_Horas,Presencial,Indefinido,2,Master,Otros,Temporal,Presencial,Indefinido,4,Master,Otros,58,No,Si,Si,Si,Si,Si,Si
Medio_Tiempo,Hibrido,Practicas,5,Tecnico,Construccion,Temporal,Presencial,Obra_Servicio,4,Master,Educacion,29,No,No,No,Si,No,No,No
Temporal,Hibrido,Obra_Servicio,1,Grado,Otros,Medio_Tiempo,Hibrido,Obra_Servicio,6,Tecnico,Otros,58,No,Si,Si,No,Si,Si,Si
Temporal,Hibrido,Obra_Servicio,1,Master,Tecnologia,Temporal,Hibrido,Obra_Servicio,5,Master,Salud,47,Si,Si,Si,Si,No,Si,Si
Temporal,Remoto,Indefinido,1,Doctorado,Educacion,Temporal,Remoto,Obra_Servicio,6,Doctorado,Educacion,58,Si,Si,No,Si,Si,Si,Si
Medio_Tiempo,Remoto,Practicas,6,Master,Construccion,Temporal,Remoto,Indefinido,6,Grado,Tecnologia,23,No,Si,No,No,No,Si,No
Por_Horas,Remoto,Obra_Servicio,4,Tecnico,Construccion,Por_Horas,Hibrido,Obra_Servicio,4,Master,Otros,24,Si,No,Si,Si,No,Si,Si
Medio_Tiempo,Hibrido,Obra_Servicio,2,Bachillerato,Tecnologia,Por_Horas,Hibrido,Obra_Servicio,6,Tecnico,Otros,26,No,Si,Si,Si,No,Si,Si
Medio_Tiempo,Remoto,Indefinido,1,Tecnico,Salud,Tiempo_Completo,Presencial,Obra_Servicio,6,Tecnico,Tecnologia,50,No,No,No,Si,No,Si,No
Temporal,Remoto,Obra_Servicio,1,Grado,Otros,Temporal,Presencial,Indefinido,6,Master,Otros,34,Si,No,No,Si,Si,Si,Si
Medio_Tiempo,Presencial,Indefinido,4,Tecnico,Tecnologia,Temporal,Hibrido,Obra_Servicio,5,Tecnico,Tecnologia,40,No,No,No,Si,Si,Si,No
Temporal,Hibrido,Obra_Servicio,6,Master,Tecnologia,Temporal,Remoto,Practicas,3,Doctorado,Tecnologia,47,Si,No,No,Si,Si,No,No
Temporal,Remoto,Practicas,3,Tecnico,Otros,Temporal,Remoto,Obra_Servicio,6,Grado,Otros,40,Si,Si,No,Si,Si,Si,Si
Medio_Tiempo,Presencial,Indefinido,1,Bachillerato,Educacion,Medio_Tiempo,Hibrido,Indefinido,2,Tecnico,Tecnologia,48,Si,No,Si,Si,No,Si,Si
Medio_Tiempo,Hibrido,Practicas,1,Tecnico,Salud,Por_Horas,Presencial,Indefinido,5,Bachillerato,Otros,26,No,No,No,No,No,Si,No
Por_Horas,Remoto,Obra_Servicio,3,Bachillerato,Educacion,Tiempo_Completo,Remoto,Indefinido,2,Bachillerato,Otros,39,No,Si,No,Si,No,No,No
Por_Horas,Hibrido,Practicas,1,Tecnico,Otros,Medio_Tiempo,Remoto,Practicas,1,Master,Otros,47,No,No,Si,Si,Si,Si,Si
Por_Horas,Hibrido,Obra_Servicio,5,Bachillerato,Construccion,Medio_Tiempo,Remoto,Obra_Servicio,4,Doctorado,Educacion,27,No,No,Si,Si,No,No,No
Medio_Tiempo,Remoto,Practicas,3,Master,Salud,Por_Horas,Hibrido,Practicas,1,Tecnico,Salud,27,No,No,Si,No,Si,No,No
Temporal,Hibrido,Practicas,1,Master,Tecnologia,Medio_Tiempo,Remoto,Indefinido,6,Doctorado,Otros,34,No,No,No,Si,No,Si,No
Temporal,Presencial,Obra_Servicio,3,Tecnico,Salud,Por_Horas,Hibrido,Practicas,6,Grado,Salud,56,No,No,No,Si,Si,Si,No
Medio_Tiempo,Presencial,Indefinido,2,Master,Educacion,Temporal,Presencial,Practicas,2,Doctorado,Educacion,31,No,Si,No,Si,Si,Si,Si
Temporal,Presencial,Obra_Servicio,2,Master,Otros,Por_Horas,Remoto,Practicas,3,Master,Educacion,48,No,No,No,Si,No,Si,No
Medio_Tiempo,Remoto,Practicas,2,Tecnico,Educacion,Por_Horas,Hibrido,Practicas,4,Doctorado,Educacion,23,No,No,Si,Si,Si,Si,Si
Por_Horas,Remoto,Indefinido,6,Tecnico,Educacion,Por_Horas,Remoto,Indefinido,6,Tecnico,Otros,52,Si,Si,Si,Si,No,Si,Si
Medio_Tiempo,Hibrido,Practicas,6,Master,Salud,Medio_Tiempo,Remoto,Practicas,6,Doctorado,Salud,29,Si,No,Si,Si,Si,Si,Si
Temporal,Hibrido,Obra_Servicio,2,Bachillerato,Otros,Temporal,Hibrido,Practicas,6,Bachillerato,Educacion,55,Si,Si,No,Si,No,Si,Si
Tiempo_Completo,Remoto,Practicas,3,Bachillerato,Tecnologia,Medio_Tiempo,Presencial,Practicas,4,Doctorado,Tecnologia,34,No,No,Si,Si,Si,Si,Si
Medio_Tiempo,Hibrido,Obra_Servicio,1,Bachillerato,Otros,Tiempo_Completo,Remoto,Practicas,4,Doctorado,Construccion,20,No,No,No,Si,No,Si,No
Temporal,Presencial,Obra_Servicio,2,Grado,Tecnologia,Temporal,Presencial,Indefinido,5,Bachillerato,Tecnologia,47,Si,Si,No,No,Si,Si,Si
Temporal,Remoto,Indefinido,4,Bachillerato,Tecnologia,Temporal,Remoto,Indefinido,2,Master,Otros,58,Si,Si,Si,Si,No,No,Si
Tiempo_Completo,Remoto,Indefinido,6,Bachillerato,Otros,Tiempo_Completo,Hibrido,Indefinido,5,Master,Otros,49,Si,No,Si,Si,Si,No,Si
Tiempo_Completo,Hibrido,Practicas,1,Tecnico,Otros,Tiempo_Completo,Presencial,Practicas,3,Grado,Tecnologia,43,Si,No,Si,Si,No,Si,Si
Por_Horas,Remoto,Indefinido,1,Master,Salud,Tiempo_Completo,Presencial,Obra_Servicio,1,Doctorado,Otros,25,No,No,No,Si,No,Si,No
Tiempo_Completo,Presencial,Practicas,5,Grado,Salud,Temporal,Hibrido,Practicas,6,Doctorado,Educacion,52,No,No,Si,Si,No,Si,No
Por_Horas,Hibrido,Indefinido,5,Bachillerato,Educacion,Tiempo_Completo,Remoto,Practicas,5,Bachillerato,Educacion,37,No,No,No,Si,Si,Si,No
Temporal,Presencial,Practicas,2,Bachillerato,Otros,Por_Horas,Remoto,Obra_Servicio,1,Tecnico,Construccion,47,No,No,No,Si,No,No,No
Tiempo_Completo,Presencial,Indefinido,3,Doctorado,Educacion,Tiempo_Completo,Presencial,Obra_Servicio,2,Grado,Construccion,28,Si,Si,No,No,No,No,No
Temporal,Remoto,Obra_Servicio,1,Grado,Salud,Por_Horas,Remoto,Obra_Servicio,6,Bachillerato,Salud,36,No,Si,Si,No,Si,Si,Si
Por_Horas,Hibrido,Indefinido,2,Bachillerato,Educacion,Medio_Tiempo,Hibrido,Practicas,4,Tecnico,Educacion,46,No,Si,No,Si,Si,Si,Si
Por_Horas,Presencial,Practicas,1,Tecnico,Tecnologia,Tiempo_Completo,Presencial,Obra_Servicio,5,Grado,Tecnologia,38,No,Si,No,Si,Si,Si,Si
Temporal,Hibrido,Obra_Servicio,2,Grado,Otros,Medio_Tiempo,Hibrido,Obra_Servicio,4,Master,Construccion,47,No,Si,Si,Si,No,Si,Si
Tiempo_Completo,Presencial,Indefinido,3,Tecnico,Otros,Medio_Tiempo,Presencial,Indefinido,4,Tecnico,Otros,41,No,Si,Si,Si,Si,Si,Si
Temporal,Remoto,Obra_Servicio,1,Doctorado,Educacion,Tiempo_Completo,Hibrido,Indefinido,2,Tecnico,Otros,57,No,No,No,No,No,Si,No
Por_Horas,Hibrido,Practicas,5,Grado,Educacion,Por_Horas,Hibrido,Obra_Servicio,4,Doctorado,Construccion,36,Si,Si,No,Si,No,No,No
Tiempo_Completo,Hibrido,Indefinido,4,Master,Otros,Medio_Tiempo,Hibrido,Practicas,4,Doctorado,Otros,50,No,Si,No,Si,Si,Si,Si
Por_Horas,Hibrido,Indefinido,2,Tecnico,Otros,Por_Horas,Hibrido,Obra_Servicio,4,Bachillerato,Otros,47,Si,Si,No,No,Si,Si,Si
Por_Horas,Remoto,Practicas,3,Bachillerato,Salud,Medio_Tiempo,Hibrido,Indefinido,2,Bachillerato,Salud,53,No,No,No,Si,Si,No,No
Medio_Tiempo,Hibrido,Obra_Servicio,3,Bachillerato,Otros,Tiempo_Completo,Hibrido,Obra_Servicio,3,Master,Educacion,33,No,Si,Si,Si,No,Si,Si
Medio_Tiempo,Hibrido,Indefinido,5,Grado,Salud,Tiempo_Completo,Remoto,Indefinido,5,Grado,Tecnologia,31,No,No,Si,Si,No,Si,No
Por_Horas,Remoto,Obra_Servicio,3,Doctorado,Tecnologia,Medio_Tiempo,Remoto,Indefinido,1,Master,Tecnologia,37,No,Si,No,No,Si,No,No
Medio_Tiempo,Presencial,Practicas,4,Master,Tecnologia,Medio_Tiempo,Presencial,Obra_Servicio,6,Master,Educacion,51,Si,Si,No,Si,No,Si,Si
Por_Horas,Hibrido,Practicas,1,Doctorado,Construccion,Tiempo_Completo,Hibrido,Indefinido,3,Master,Otros,51,No,Si,No,No,No,Si,No
Por_Horas,Remoto,Practicas,6,Master,Salud,Medio_Tiempo,Remoto,Practicas,1,Bachillerato,Construccion,60,No,Si,Si,No,No,No,No
Por_Horas,Remoto,Practicas,2,Tecnico,Tecnologia,Por_Horas,Remoto,Obra_Servicio,5,Master,Otros,58,Si,Si,No,Si,No,Si,Si
Medio_Tiempo,Presencial,Practicas,4,Doctorado,Salud,Medio_Tiempo,Hibrido,Practicas,3,Grado,Construccion,33,Si,No,Si,No,No,No,No
Tiempo_Completo,Remoto,Indefinido,6,Tecnico,Construccion,Temporal,Remoto,Indefinido,5,Tecnico,Salud,30,No,Si,Si,Si,No,No,No
Tiempo_Completo,Hibrido,Indefinido,4,Tecnico,Tecnologia,Tiempo_Completo,Hibrido,Indefinido,2,Grado,Otros,37,Si,Si,Si,Si,No,No,Si
Temporal,Presencial,Obra_Servicio,6,Doctorado,Tecnologia,Tiempo_Completo,Presencial,Obra_Servicio,2,Bachillerato,Educacion,52,No,Si,Si,No,No,No,No
Temporal,Presencial,Indefinido,4,Master,Tecnologia,Por_Horas,Remoto,Practicas,5,Master,Construccion,26,No,No,No,Si,No,Si,No
Por_Horas,Remoto,Practicas,2,Tecnico,Otros,Por_Horas,Hibrido,Practicas,1,Tecnico,Construccion,42,Si,No,Si,Si,No,No,No
Por_Horas,Hibrido,Obra_Servicio,6,Master,Salud,Tiempo_Completo,Presencial,Practicas,6,Tecnico,Tecnologia,33,No,No,No,No,No,Si,No
Temporal,Remoto,Indefinido,6,Grado,Tecnologia,Medio_Tiempo,Hibrido,Indefinido,4,Master,Salud,42,No,No,Si,Si,No,No,No
Temporal,Presencial,Indefinido,4,Master,Tecnologia,Temporal,Presencial,Obra_Servicio,5,Doctorado,Salud,22,Si,Si,No,Si,No,Si,Si
Por_Horas,Remoto,Practicas,2,Doctorado,Construccion,Medio_Tiempo,Hibrido,Obra_Servicio,4,Grado,Otros,48,No,No,No,No,No,Si,No
Por_Horas,Presencial,Practicas,1,Doctorado,Tecnologia,Temporal,Remoto,Practicas,3,Doctorado,Tecnologia,25,No,No,Si,Si,Si,Si,Si
Tiempo_Completo,Hibrido,Indefinido,6,Tecnico,Otros,Tiempo_Completo,Hibrido,Indefinido,5,Tecnico,Tecnologia,31,Si,Si,Si,Si,No,No,Si
Por_Horas,Remoto,Obra_Servicio,1,Bachillerato,Tecnologia,Por_Horas,Remoto,Obra_Servicio,4,Tecnico,Educacion,47,Si,Si,Si,Si,No,Si,Si
Temporal,Hibrido,Practicas,2,Grado,Tecnologia,Tiempo_Completo,Hibrido,Practicas,6,Grado,Salud,31,No,Si,Si,Si,No,Si,Si
Tiempo_Completo,Presencial,Obra_Servicio,2,Tecnico,Salud,Temporal,Remoto,Indefinido,2,Doctorado,Tecnologia,44,No,No,No,Si,No,Si,No
Medio_Tiempo,Remoto,Practicas,2,Master,Construccion,Temporal,Remoto,Practicas,3,Tecnico,Construccion,26,No,Si,Si,No,Si,Si,Si
Medio_Tiempo,Presencial,Indefinido,4,Doctorado,Educacion,Por_Horas,Presencial,Obra_Servicio,2,Grado,Otros,25,No,Si,No,No,No,No,No
Temporal,Presencial,Obra_Servicio,3,Master,Salud,Medio_Tiempo,Hibrido,Obra_Servicio,5,Bachillerato,Salud,32,No,No,Si,No,Si,Si,No
Temporal,Presencial,Obra_Servicio,3,Master,Educacion,Medio_Tiempo,Presencial,Indefinido,4,Doctorado,Educacion,54,No,Si,No,Si,Si,Si,Si
Medio_Tiempo,Remoto,Indefinido,4,Tecnico,Tecnologia,Por_Horas,Presencial,Obra_Servicio,1,Doctorado,Educacion,32,No,No,No,Si,No,No,No
